neurons,pruning,tau
50,0.9,0.32274821997048
50,0.8,0.21846071019983684
50,0.7,0.15655436812268328
50,0.6,0.110883576202967
50,0.5,0.07668824025017268
50,0.4,0.049425495749142394
50,0.3,0.030118973784609714
50,0.2,0.019387977005469972
50,0.1,0.015619631472916666
100,0.9,0.23459368753524745
100,0.8,0.15991465466916785
100,0.7,0.11370812149538635
100,0.6,0.08003622225238623
100,0.5,0.05439145918802488
100,0.4,0.0344887501330884
100,0.3,0.01999629294543474
100,0.2,0.011097228571893353
100,0.1,0.008374570096368385
150,0.9,0.19963496940323014
150,0.8,0.13009482139576073
150,0.7,0.09075223056213828
150,0.6,0.06393321652813626
150,0.5,0.043548377937384586
150,0.4,0.028445457079681585
150,0.3,0.01672332317471332
150,0.2,0.009092778274619694
150,0.1,0.00600384948163347
200,0.9,0.18552108379029808
200,0.8,0.12201014121948275
200,0.7,0.08574957283547809
200,0.6,0.06037618114022188
200,0.5,0.04113945667348433
200,0.4,0.026439100922887315
200,0.3,0.01554979095246287
200,0.2,0.008205747684607134
200,0.1,0.004736473428759177
250,0.9,0.17313262743740815
250,0.8,0.11220976166806225
250,0.7,0.07905248533817406
250,0.6,0.05614808466205979
250,0.5,0.03909897302394708
250,0.4,0.025706667804491785
250,0.3,0.0155543821020026
250,0.2,0.008300783967379478
250,0.1,0.0041849691281625285
300,0.9,0.16134206196230463
300,0.8,0.1047107029391631
300,0.7,0.07325982327217774
300,0.6,0.052138406645922064
300,0.5,0.03648133339864513
300,0.4,0.024241047991028025
300,0.3,0.014665878467434938
300,0.2,0.007891394840474289
300,0.1,0.0038020691318294865